millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 98455.78, "g_temp": 31.59, "datetime": "2023-03-02T20:32:17Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
21928180,282778188,-821314371,161817,455.19592,22089,-15238,1315426,-0.652,0.035,0.707,31.98,93538,4
21928236,282783451,-821315643,179061,455.58435,36532,-13231,900773,-0.684,0.000,0.711,31.97,93534,4
21928292,282790455,-821316609,185970,455.9057,44199,-11461,1092500,-0.680,-0.020,0.742,31.98,93531,4
21928348,282799418,-821316593,185638,455.9057,49946,-9666,1209491,-0.605,0.066,0.832,31.98,93531,4
21928404,282807742,-821317183,186850,456.40033,54755,-8495,1147617,-0.637,0.082,0.820,31.98,93526,4
21928460,282814947,-821318961,195849,456.70212,57886,-8072,1032530,-0.668,0.020,0.707,31.98,93522,4
21928516,282821386,-821320834,210358,456.55682,59677,-8220,995706,-0.672,0.062,0.789,31.98,93524,4
21928572,282817546,-821310298,156545,456.9648,50919,-6825,1782444,-0.695,0.102,0.777,31.98,93520,5
21928628,282816816,-821304685,125979,457.13806,47945,-7226,1752830,-0.652,0.062,0.812,31.98,93518,5
21928684,282816110,-821301372,112914,457.38675,48896,-6118,1945940,-0.637,0.055,0.879,31.98,93515,5
21928740,282812425,-821299212,152582,457.5796,50736,-7185,2048866,-0.660,0.105,0.844,31.98,93513,4
21928796,282809387,-821297877,190789,457.64386,51488,-7278,2054981,-0.652,0.035,0.809,31.98,93512,4
21928852,282806732,-821296968,227003,458.50455,52318,-7026,2071895,-0.637,0.109,0.820,31.98,93503,4
21928908,282804317,-821296360,260483,458.50455,52674,-6854,2069171,-0.645,0.129,0.770,31.98,93503,4
21928964,282802180,-821295924,291451,458.8203,53103,-6789,2076030,-0.664,0.129,0.750,31.98,93500,4
21929020,282800170,-821295666,320002,459.08298,53824,-6960,2077313,-0.668,0.074,0.816,31.98,93497,4
21929076,282799047,-821295058,338241,459.05783,53280,-6517,2071019,-0.629,0.125,0.777,31.98,93497,4
21929132,282801148,-821294235,309684,459.3345,54058,-5184,2037689,-0.633,0.152,0.785,31.98,93494,5
21929188,282802692,-821293605,290462,459.7788,54405,-5543,2018778,-0.652,0.113,0.742,31.98,93490,5
21929244,282804135,-821293035,273562,460.05267,54806,-5479,2001484,-0.660,0.164,0.715,31.98,93487,5
21929300,282805418,-821292574,257991,460.42712,54945,-5524,1999449,-0.652,0.148,0.703,31.98,93483,5
21929356,282806581,-821292141,244333,460.81274,54925,-5669,2004655,-0.656,0.168,0.699,31.98,93479,5
21929412,282807804,-821291674,229765,461.26544,55150,-5350,1980305,-0.637,0.125,0.703,31.98,93474,5
21929468,282808893,-821291248,217457,461.26544,55426,-5168,1961178,-0.602,0.121,0.746,31.98,93474,5
21929524,282809345,-821291169,213074,462.42795,55008,-5353,1969824,-0.602,0.098,0.777,31.98,93462,5
21929580,282809755,-821291068,209136,462.7409,54626,-5426,1995434,-0.688,0.141,0.699,31.98,93458,5
21929636,282810283,-821290931,204217,462.8052,54961,-5718,1988234,-0.613,0.090,0.637,31.98,93458,5
21929692,282811145,-821290532,195851,463.11816,54712,-5671,1987540,-0.672,0.102,0.555,31.98,93454,5
21929748,282811065,-821290095,191734,463.6491,54397,-5574,1993352,-0.703,0.141,0.621,31.98,93449,6
21929804,282809572,-821290239,199924,463.99564,54254,-5303,2000971,-0.656,0.027,0.551,31.98,93445,7
21929860,282808463,-821290306,206357,464.6104,54659,-5460,2003863,-0.699,0.051,0.602,31.98,93439,7
21929916,282807615,-821290331,210932,464.8591,54526,-5602,2001645,-0.668,0.027,0.707,31.98,93436,7
21929972,282806785,-821290381,216851,465.43198,53946,-5541,2033072,-0.664,0.098,0.793,31.99,93430,7
21930028,282806112,-821290411,221653,465.43198,54007,-5433,2016709,-0.727,0.000,0.691,31.99,93430,7
21930084,282805573,-821290421,225673,465.29504,54329,-5492,1998425,-0.738,-0.004,0.680,31.99,93431,7
21930140,282805084,-821290429,229505,465.49625,54576,-5121,1979637,-0.672,0.062,0.863,31.99,93429,7
21930196,282804696,-821290398,232359,465.83716,54576,-5232,1959073,-0.688,0.078,0.852,31.99,93426,7
21930252,282804294,-821290403,235191,465.83438,54656,-5376,1968531,-0.707,0.062,0.867,31.98,93426,7
21930308,282803639,-821290557,240498,465.99924,54544,-4989,1956234,-0.734,-0.051,0.680,31.98,93424,7
21930364,282803049,-821290678,246427,466.24515,55106,-5386,1941038,-0.715,0.020,0.688,31.98,93421,7
21930420,282802523,-821290791,251932,466.35135,54454,-5037,1951046,-0.734,-0.035,0.656,31.98,93420,7
21930476,282802086,-821290877,256843,466.77332,54467,-5362,1962309,-0.668,-0.023,0.668,31.99,93416,7
21930532,282801697,-821290949,261209,467.50546,54036,-5346,1963056,-0.652,-0.039,0.625,31.99,93408,7
21930588,282801361,-821291008,265237,467.50546,53902,-5339,1943912,-0.668,-0.043,0.645,31.99,93408,7
21930644,282800870,-821291089,273410,467.95535,54349,-5203,1927586,-0.648,-0.082,0.715,31.99,93403,7
21930700,282800593,-821291136,277141,468.36057,54511,-5234,1921739,-0.672,-0.023,0.652,31.99,93399,7
21930756,282800411,-821291143,279807,468.57013,54485,-5180,1912683,-0.660,-0.035,0.699,31.99,93397,7
21930812,282799986,-821291158,284628,468.68472,54481,-5408,1896676,-0.656,0.000,0.773,31.99,93395,8
21930868,282799540,-821291165,289794,469.0005,54320,-5175,1890221,-0.660,0.016,0.781,31.99,93392,8
21930924,282798926,-821291219,298045,469.35538,54320,-4977,1871811,-0.668,-0.004,0.824,31.99,93388,8
21930980,282798295,-821291261,306208,469.72144,54279,-5165,1858668,-0.664,0.023,0.855,31.99,93384,8
21931036,282797702,-821291290,313984,469.88632,54409,-5274,1852425,-0.656,0.008,0.840,31.99,93383,8
21931092,282797207,-821291292,320901,470.40887,54390,-5089,1844865,-0.660,0.016,0.840,31.98,93377,8
21931148,282796660,-821291323,328153,470.40887,54311,-4873,1826547,-0.617,0.031,0.809,31.98,93377,9
21931204,282796122,-821291346,335378,470.5961,54407,-4969,1797938,-0.641,0.066,0.875,31.99,93375,9
21931260,282795638,-821291362,342206,470.71347,54069,-5241,1808905,-0.637,-0.004,0.820,31.99,93374,9
