millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 96823.13, "g_temp": 25.98, "datetime": "2023-04-21T10:06:54Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
18125821,430864283,17441708,358233,579.64484,15510,83501,,-1.094,0.266,-0.117,26.52,90586,4
18125877,430864448,17441757,351666,579.64484,15906,83720,,-1.145,0.188,-0.070,26.52,90586,4
18125933,430864869,17441656,340494,579.67224,16047,84085,,-1.105,0.082,-0.094,26.52,90585,4
18125989,430864553,17441815,343150,579.76825,15979,84076,,-1.109,0.230,-0.129,26.52,90584,4
18126045,430863760,17442110,354787,579.83685,16026,84082,,-1.105,0.227,-0.051,26.52,90584,4
18126101,430863783,17442177,351031,579.996,15838,83953,,-1.086,0.137,-0.129,26.52,90582,4
18126157,430863343,17442384,356023,580.0974,15721,83869,,-1.027,0.203,-0.102,26.52,90581,4
18126213,430862764,17442640,363575,581.17816,15637,83837,,-0.996,0.203,-0.047,26.52,90570,4
18126269,430862363,17442843,367810,581.17816,15586,83696,,-1.004,0.234,-0.121,26.52,90570,4
18126325,430861669,17443131,377579,581.7762,15628,83714,,-0.992,0.109,-0.051,26.52,90563,4
18126381,430860522,17443547,395982,582.0806,15587,83684,,-0.965,0.254,-0.109,26.52,90560,4
18126437,430859573,17443904,410620,582.35767,15502,83633,,-1.062,0.121,-0.043,26.52,90557,4
18126493,430858624,17444259,425289,582.4509,15530,83621,,-1.070,0.188,-0.137,26.52,90556,4
18126549,430858167,17444476,430606,582.57166,15504,83590,,-1.039,0.148,-0.051,26.52,90555,4
18126605,430857232,17444825,444989,582.6293,15435,83562,,-0.996,0.133,-0.152,26.52,90554,4
18126661,430856499,17445112,455577,582.7719,15444,83553,,-1.035,0.207,-0.129,26.52,90553,4
18126717,430855985,17445340,461939,582.7938,15400,83499,,-1.078,0.090,-0.188,26.52,90553,4
18126773,430855579,17445534,466245,583.11475,15400,83486,,-1.043,0.254,-0.074,26.52,90549,4
18126829,430855096,17445745,471968,583.11475,15244,83396,,-1.098,0.223,-0.062,26.52,90549,4
18126885,430854470,17445999,480358,583.32324,15092,83314,,-1.070,0.258,-0.141,26.52,90547,4
18126941,430854171,17446155,482517,583.4494,15042,83275,,-1.086,0.246,-0.078,26.52,90546,4
18126997,430854072,17446252,480885,583.7347,14896,83213,,-1.098,0.168,-0.121,26.52,90543,4
18127053,430853794,17446395,482623,583.9788,14838,83196,,-1.016,0.219,-0.109,26.52,90540,4
18127109,430853642,17446503,481983,584.45886,14842,83186,,-1.035,0.211,-0.078,26.52,90535,4
18127165,430853232,17446685,486231,584.7908,14759,83097,,-1.094,0.168,-0.070,26.52,90532,4
18127221,430853044,17446806,486244,585.2351,14686,83056,,-1.051,0.180,-0.125,26.52,90527,4
18127277,430852767,17446947,487912,585.53687,14747,83078,,-1.066,0.215,-0.125,26.52,90524,4
18127333,430852510,17447073,489218,586.04706,14496,82936,,-1.066,0.188,-0.055,26.52,90519,4
18127389,430852525,17447117,485344,586.04706,14100,82752,,-1.055,0.250,-0.102,26.52,90519,4
18127445,430852425,17447193,483657,586.59015,14002,82681,,-1.074,0.227,-0.059,26.53,90513,4
18127501,430852291,17447278,482565,586.85626,13613,82507,,-1.031,0.113,-0.160,26.53,90510,4
18127557,430852105,17447378,482496,587.17444,13521,82458,,-1.105,0.168,-0.066,26.53,90507,4
18127613,430851923,17447468,482403,587.4762,13213,82295,,-1.039,0.172,-0.133,26.53,90504,4
18127669,430851668,17447597,483671,587.83826,13275,82342,,-1.074,0.234,-0.121,26.53,90500,4
18127725,430851487,17447704,483573,588.18665,13412,82399,,-1.035,0.258,-0.012,26.52,90496,4
18127781,430851389,17447789,481918,588.3183,13457,82410,,-1.059,0.207,-0.090,26.52,90495,4
18127837,430851339,17447862,479320,588.4472,13380,82396,,-1.016,0.156,-0.160,26.53,90494,4
18127893,430851247,17447947,477546,588.919,13543,82456,,-1.000,0.336,-0.012,26.53,90489,4
18127949,430851282,17447997,473360,588.919,13516,82437,,-1.121,0.242,-0.211,26.53,90489,4
18128005,430851461,17448007,466457,589.1714,13609,82484,,-1.055,0.230,-0.070,26.53,90486,4
18128061,430851651,17448013,459337,589.28656,13701,82520,,-1.055,0.230,-0.148,26.53,90485,4
18128117,430851927,17447998,450610,589.5746,13695,82523,,-1.098,0.230,-0.043,26.53,90482,4
18128173,430852144,17448000,443024,589.698,13748,82548,,-1.113,0.176,-0.105,26.53,90481,4
18128229,430852306,17448019,436465,589.9559,13775,82559,,-1.008,0.227,-0.082,26.53,90478,4
18128285,430852372,17448067,431704,590.04364,13778,82560,,-1.047,0.234,-0.105,26.53,90477,4
18128341,430852424,17448120,427202,590.3289,13830,82582,,-1.023,0.168,-0.020,26.53,90474,4
18128397,430852381,17448198,424472,590.595,13746,82541,,-1.098,0.227,-0.121,26.53,90471,4
18128453,430852211,17448313,424097,591.49194,13703,82520,,-0.992,0.184,-0.125,26.53,90462,4
18128509,430852154,17448390,421633,591.49194,13697,82505,,-1.043,0.289,-0.070,26.53,90462,4
18128565,430852089,17448473,419303,591.86774,13667,82457,,-1.047,0.293,-0.047,26.53,90458,4
18128621,430852037,17448552,416761,591.97473,13687,82446,,-1.121,0.242,-0.098,26.53,90457,4
18128677,430851981,17448637,414262,592.249,13640,82422,,-1.070,0.234,-0.102,26.53,90454,4
18128733,430851970,17448707,410897,592.44104,13705,82448,,-1.109,0.199,-0.125,26.53,90452,4
18128789,430852023,17448760,406306,592.77844,13650,82428,,-1.102,0.230,-0.109,26.53,90449,4
18128845,430852047,17448822,402281,593.03357,13685,82454,,-1.082,0.250,-0.082,26.53,90446,4
18128901,430852107,17448882,397561,593.53827,13986,82597,,-1.086,0.211,-0.086,26.53,90441,4
18128957,430852149,17448947,393167,593.9881,14152,82664,,-1.055,0.258,-0.066,26.53,90436,4
18129013,430852228,17449005,388088,594.97833,14304,82726,,-1.039,0.211,-0.098,26.53,90426,4
18129069,430852290,17449051,383354,594.97833,13941,82549,,-1.031,0.191,-0.125,26.53,90426,4
18129125,430852347,17449095,378694,596.0372,13691,82430,,-0.992,0.168,-0.062,26.53,90415,4
18129181,430852416,17449123,373824,596.22095,13218,82191,,-0.941,0.223,-0.102,26.53,90413,4
18129237,430852445,17449171,369696,596.679,13050,82104,,-1.031,0.219,-0.133,26.53,90408,4
18129293,430852461,17449222,365820,596.9012,12915,82036,,-1.004,0.094,-0.066,26.53,90406,4
18129349,430852468,17449275,362122,597.4087,12868,82002,,-1.047,0.254,-0.152,26.53,90400,4
18129405,430852477,17449327,358385,597.4169,12783,81954,,-1.109,0.215,-0.125,26.53,90400,4
18129461,430852492,17449379,354516,597.38947,12718,81920,,-1.113,0.227,-0.230,26.53,90401,4
18129517,430852465,17449442,351446,597.4635,12701,81903,,-1.078,0.285,-0.125,26.53,90400,4
18129573,430852471,17449497,347729,597.86676,12637,81874,,-1.102,0.195,-0.082,26.53,90396,4
18129629,430852458,17449558,344380,597.86676,12618,81864,,-1.125,0.215,-0.094,26.53,90396,4
18129685,430852420,17449626,341530,598.45374,12611,81859,,-1.047,0.227,-0.043,26.54,90389,4
18129741,430852392,17449692,338512,598.8295,12680,81881,,-1.023,0.320,-0.078,26.53,90386,4
18129797,430836575,17454260,632297,599.1889,7783,61821,,-1.023,0.199,-0.125,26.54,90382,5
18129853,430834817,17454764,662871,599.5592,5234,51215,,-0.902,0.227,-0.078,26.54,90378,5
18129909,430834125,17454983,672968,599.8609,7464,44903,,-1.023,0.113,-0.039,26.54,90375,5
18129965,430833600,17455168,679702,600.63446,11201,40766,,-1.004,0.199,-0.102,26.54,90367,5
18130021,430833344,17455295,681391,601.18854,13256,38362,,-0.984,0.117,-0.102,26.54,90361,5
18130077,430833078,17455412,683180,601.54517,14568,36971,,-0.984,0.301,-0.023,26.54,90357,5
18130133,430832911,17455507,683007,602.39,16236,36149,14344684,-0.984,0.160,-0.141,26.54,90348,5
