# {"problem_type":"classification" }
"left daughter","right daughter","split var","split point","status","prediction","tree_idx","node_idx"
2,3,"speed_h",28676.5,1,NA,1,1
4,5,"hAGL",109.8885,1,NA,1,2
6,7,"speed_v",16898,1,NA,1,3
8,9,"acc_abs",1.7473535632249773,1,NA,1,4
10,11,"hAGL",1726.83,1,NA,1,5
12,13,"speed_v",9762,1,NA,1,6
14,15,"speed_v",21517,1,NA,1,7
16,17,"hAGL",62.583,1,NA,1,8
18,19,"speed_v",20060.5,1,NA,1,9
20,21,"hAGL",484.8405,1,NA,1,10
22,23,"hAGL",2013.1734999999999,1,NA,1,11
24,25,"hAGL",1944.1554999999998,1,NA,1,12
26,27,"hAGL",1746.1585,1,NA,1,13
28,29,"speed_h",38076,1,NA,1,14
30,31,"speed_h",41484.5,1,NA,1,15
32,33,"speed_h",24477,1,NA,1,16
34,35,"acc_abs",1.4558118482037465,1,NA,1,17
36,37,"speed_v",9364,1,NA,1,18
38,39,"hAGL",26.5785,1,NA,1,19
40,41,"speed_h",15638.5,1,NA,1,20
42,43,"acc_abs",1.9112181967739579,1,NA,1,21
44,45,"acc_abs",1.5215828580294342,1,NA,1,22
46,47,"speed_v",20363,1,NA,1,23
48,49,"speed_h",30354.5,1,NA,1,24
50,51,"acc_abs",1.9451489879264292,1,NA,1,25
52,53,"hAGL",1169.1390000000001,1,NA,1,26
54,55,"GlideRatio",2.41833365111169,1,NA,1,27
56,57,"speed_h",36164,1,NA,1,28
58,59,"acc_abs",1.1223748093012107,1,NA,1,29
60,61,"GlideRatio",1.8307910553366051,1,NA,1,30
62,63,"speed_h",55187.5,1,NA,1,31
64,65,"speed_v",11938.5,1,NA,1,32
66,67,"GlideRatio",5.53663076832351,1,NA,1,33
68,69,"speed_h",16241,1,NA,1,34
70,71,"speed_h",16180.5,1,NA,1,35
0,0,NA,0,-1,"landing",1,36
72,73,"hAGL",4.541,1,NA,1,37
74,75,"hAGL",18.7805,1,NA,1,38
0,0,NA,0,-1,"recovery_arc",1,39
76,77,"speed_v",3574,1,NA,1,40
78,79,"speed_v",14474,1,NA,1,41
80,81,"speed_v",21271.5,1,NA,1,42
82,83,"hAGL",1036.8310000000001,1,NA,1,43
84,85,"acc_abs",1.2309810229024145,1,NA,1,44
86,87,"GlideRatio",0.312360404162421,1,NA,1,45
88,89,"speed_h",25597,1,NA,1,46
90,91,"hAGL",4001.653,1,NA,1,47
0,0,NA,0,-1,"canopy",1,48
0,0,NA,0,-1,"plane",1,49
92,93,"hAGL",1949.897,1,NA,1,50
0,0,NA,0,-1,"free fall",1,51
94,95,"hAGL",1000.7155,1,NA,1,52
96,97,"speed_v",12260,1,NA,1,53
98,99,"acc_abs",0.7798388536177774,1,NA,1,54
0,0,NA,0,-1,"plane",1,55
0,0,NA,0,-1,"flight",1,56
0,0,NA,0,-1,"free fall",1,57
0,0,NA,0,-1,"flight",1,58
0,0,NA,0,-1,"flight",1,59
0,0,NA,0,-1,"flight",1,60
0,0,NA,0,-1,"plane",1,61
0,0,NA,0,-1,"flight",1,62
0,0,NA,0,-1,"plane",1,63
0,0,NA,0,-1,"landing",1,64
0,0,NA,0,-1,"landing",1,65
0,0,NA,0,-1,"recovery_arc",1,66
0,0,NA,0,-1,"landing",1,67
0,0,NA,0,-1,"landing",1,68
0,0,NA,0,-1,"canopy",1,69
0,0,NA,0,-1,"landing",1,70
0,0,NA,0,-1,"recovery_arc",1,71
0,0,NA,0,-1,"landing",1,72
0,0,NA,0,-1,"landing",1,73
0,0,NA,0,-1,"recovery_arc",1,74
0,0,NA,0,-1,"recovery_arc",1,75
0,0,NA,0,-1,"maneuver",1,76
0,0,NA,0,-1,"canopy",1,77
0,0,NA,0,-1,"maneuver",1,78
0,0,NA,0,-1,"recovery_arc",1,79
0,0,NA,0,-1,"canopy",1,80
0,0,NA,0,-1,"free fall",1,81
0,0,NA,0,-1,"canopy",1,82
0,0,NA,0,-1,"opening",1,83
0,0,NA,0,-1,"free fall",1,84
0,0,NA,0,-1,"free fall",1,85
0,0,NA,0,-1,"free fall",1,86
0,0,NA,0,-1,"opening",1,87
0,0,NA,0,-1,"free fall",1,88
